id1,count1,id2,count2
11,231,14,264
6,213,8,243
21,202,18,219
1,194,23,214
17,193,5,213
14,192,24,200
28,185,1,198
3,184,0,194
22,183,22,192
0,177,21,185
7,170,4,181
20,169,11,169
18,168,15,163
19,161,2,162
9,159,12,149
2,158,7,148
4,157,20,146
23,155,10,146
16,151,26,145
25,147,27,144
15,143,13,140
27,135,3,140
26,133,19,134
10,132,16,132
5,132,6,130
8,130,25,128
24,119,17,109
12,118,9,107
